article_name,country,revision_id,article_quality,population
Djidingar Dono Ngardoum,Chad,764133533.0,Stub,15.4
Youssouf Saleh Abbas,Chad,771052289.0,B,15.4
Koibla Djimasta,Chad,774223245.0,Start,15.4
Nassour Guelendouksia Ouaido,Chad,774223248.0,C,15.4
Joseph Brahim Seid,Chad,777478442.0,Stub,15.4
Joseph Yodoyman,Chad,777550078.0,Start,15.4
Antoine Bangui,Chad,782638002.0,Start,15.4
Ibrahim IV of Bornu,Chad,785614014.0,Stub,15.4
Hadjé Halimé,Chad,786449636.0,C,15.4
Youssouf Togoïmi,Chad,787390241.0,Start,15.4
Adoum Younousmi,Chad,787719236.0,Start,15.4
François Tombalbaye,Chad,787738541.0,C,15.4
Ahmat Hassaballah Soubiane,Chad,787910771.0,Stub,15.4
Ahmad Allam-Mi,Chad,787921293.0,Start,15.4
Laotegguelnodji Koumtog,Chad,788009613.0,Stub,15.4
Mahamat Ali Adoum,Chad,788014671.0,Start,15.4
Mahamat Saleh Annadif,Chad,788658822.0,Start,15.4
Mohamed Bechir-Sow,Chad,788827248.0,Stub,15.4
Gontchomé Sahoulba,Chad,788828388.0,Start,15.4
Gabriel Lisette,Chad,788828519.0,Start,15.4
Ali II of Bornu,Chad,788999424.0,Stub,15.4
Arabi El Goni,Chad,789126126.0,Stub,15.4
Dunama Dabbalemi,Chad,789935196.0,Start,15.4
Idris Alooma,Chad,792734868.0,Start,15.4
Mahamat Nouri,Chad,792954115.0,FA,15.4
Idriss Ndele Moussa,Chad,796654025.0,Start,15.4
Mbaydoum Simeon,Chad,796690873.0,Stub,15.4
Ngarindo Milengar,Chad,796700718.0,Stub,15.4
List of Prime Ministers of Chad,Chad,797747674.0,Start,15.4
Idriss Déby,Chad,798286150.0,C,15.4
Saleh Kebzabo,Chad,798626040.0,C,15.4
Moussa Faki,Chad,799043301.0,C,15.4
Kalzeubet Pahimi Deubet,Chad,799413193.0,Stub,15.4
Haroun Kabadi,Chad,799447895.0,Start,15.4
Nagoum Yamassoum,Chad,799447995.0,Start,15.4
Outel Bono,Chad,799448338.0,Start,15.4
Ahmat Acyl,Chad,799902492.0,C,15.4
Djimrangar Dadnadji,Chad,800133552.0,Start,15.4
Delwa Kassiré Koumakoye,Chad,801029539.0,C,15.4
Fidèle Moungar,Chad,801192255.0,C,15.4
Jean Alingué Bawoyeu,Chad,801192303.0,B,15.4
Emmanuel Nadingar,Chad,801573576.0,C,15.4
Roger Djikisna,Chad,801583221.0,Stub,15.4
Firmin Djidingar,Chad,801583260.0,Stub,15.4
Idris I of Kanem,Chad,802874918.0,Stub,15.4
Vice President of Chad,Chad,803166509.0,Stub,15.4
Hissène Habré,Chad,803166806.0,GA,15.4
Negue Djogo,Chad,803166989.0,Start,15.4
Wadel Abdelkader Kamougué,Chad,803167152.0,C,15.4
Félix Malloum,Chad,803167336.0,Start,15.4
Lol Mahamat Choua,Chad,803167424.0,C,15.4
Goukouni Oueddei,Chad,803167990.0,C,15.4
Albert Pahimi Padacké,Chad,803433107.0,C,15.4
List of heads of state of Chad,Chad,803812011.0,Start,15.4
Elise Loum,Chad,804773540.0,Start,15.4
Agnes Allafi,Chad,805493169.0,Start,15.4
Christine Georges Diguibaye,Chad,806337653.0,Stub,15.4
Pascal Yoadimnadji,Chad,806508985.0,Start,15.4
Aissa Koli,Chad,806616268.0,Start,15.4
Yos Por,Cambodia,393822005.0,Stub,16
Than Sina,Cambodia,671073599.0,Stub,16
Ieu Pannakar,Cambodia,712085445.0,Stub,16
Taing Sunlay,Cambodia,713507166.0,Stub,16
Dul Koeun,Cambodia,714524609.0,Stub,16
Ly Kim Leang,Cambodia,714524624.0,Stub,16
Chhor Leang Huot,Cambodia,714524714.0,Stub,16
Thak Lany,Cambodia,714524870.0,Stub,16
Sok San,Cambodia,714525029.0,Stub,16
Tep Ngorn,Cambodia,714528164.0,Stub,16
Chan Cheng,Cambodia,714528251.0,Stub,16
Nhim Vanda,Cambodia,714528803.0,Stub,16
Pen Panha,Cambodia,714528886.0,Stub,16
Sieng Nam,Cambodia,714529109.0,Stub,16
So Khun,Cambodia,714529370.0,Stub,16
Nou Sam,Cambodia,714529507.0,Stub,16
Rath Sarem,Cambodia,716812326.0,Stub,16
Kong Vibol,Cambodia,726543264.0,Stub,16
Monh Saphan,Cambodia,726543284.0,Stub,16
Uk Rabun,Cambodia,726543336.0,Stub,16
Ay Khorn,Cambodia,726543872.0,Stub,16
Oung Ouen,Cambodia,726688556.0,Stub,16
List of Deputy Prime Ministers of Cambodia,Cambodia,730617957.0,Stub,16
Cambodian People's Party–FUNCINPEC coalition agreement,Cambodia,732331264.0,Stub,16
Chuop Hell,Cambodia,735512767.0,Stub,16
Kong Korm,Cambodia,736093077.0,Stub,16
Chan Nak,Cambodia,736538934.0,Stub,16
Huy Kanthoul,Cambodia,736539294.0,Stub,16
Vorn Vet,Cambodia,736715950.0,Stub,16
Yat Hwaidi,Cambodia,737025619.0,Stub,16
Khim Tit,Cambodia,737804996.0,Stub,16
Son Chhay,Cambodia,738180794.0,Start,16
Kep Chuktema,Cambodia,738478052.0,Start,16
Nuth Rumduol,Cambodia,738512371.0,Stub,16
Khieu Thavika,Cambodia,738804016.0,Stub,16
Norodom Phurissara,Cambodia,738987957.0,Start,16
Daran Kravanh,Cambodia,738989624.0,Stub,16
Sisowath Monireth,Cambodia,738992094.0,Start,16
Sisowath Youtevong,Cambodia,738992441.0,Start,16
Ou Chanrith,Cambodia,739217591.0,Stub,16
Yem Ponhearith,Cambodia,741680078.0,Stub,16
Chrea Sochenda,Cambodia,741923960.0,Stub,16
Vong Kan,Cambodia,742006559.0,Stub,16
Yos Son,Cambodia,742067282.0,Stub,16
Hun Many,Cambodia,744291790.0,Stub,16
Chhean Vam,Cambodia,747052284.0,Stub,16
Oum Chheang Sun,Cambodia,747052769.0,Stub,16
Norodom Kantol,Cambodia,747053219.0,Stub,16
Khieu Rada,Cambodia,747555899.0,Start,16
Ieu Koeus,Cambodia,747628491.0,Stub,16
Cheng Heng,Cambodia,747784875.0,Start,16
Mok Mareth,Cambodia,747945224.0,Start,16
Kieng Vang,Cambodia,748137241.0,Stub,16
Sisowath Watchayavong,Cambodia,748488170.0,Stub,16
Sokhom So,Cambodia,749156496.0,Stub,16
Min Sean,Cambodia,749304614.0,Stub,16
Y Chhean,Cambodia,749338398.0,Stub,16
Poa Bun Sreu,Cambodia,749357713.0,Stub,16
Toan Vanthara,Cambodia,749387326.0,Stub,16
Sok Soty,Cambodia,749388858.0,Stub,16
Pal Sam Oeun,Cambodia,749396845.0,Stub,16
Ngor Sovann,Cambodia,749470256.0,Stub,16
Kea Sahorn,Cambodia,749510551.0,Stub,16
Suos Kanan,Cambodia,749517390.0,Stub,16
Im Chhun Lim,Cambodia,749537624.0,Stub,16
Tram Iv Teuk,Cambodia,749537772.0,Stub,16
Hem Khorn,Cambodia,749561164.0,Stub,16
Um Nhanh,Cambodia,749569686.0,Stub,16
Poa Try,Cambodia,749570183.0,Stub,16
Yim Chhaily,Cambodia,749683882.0,Stub,16
Ith Prang,Cambodia,749704384.0,Stub,16
Try Chheang Huot,Cambodia,749710492.0,Stub,16
Suk Sam Eng,Cambodia,749945690.0,Stub,16
Nim Thot,Cambodia,749967879.0,Stub,16
Ngin Khorn,Cambodia,749970189.0,Stub,16
Sorn Inthor,Cambodia,749977252.0,Stub,16
You Hockry,Cambodia,750055098.0,Stub,16
Samrith Pech,Cambodia,750074445.0,Stub,16
Un Neung,Cambodia,750077042.0,Stub,16
Bou Thang,Cambodia,750179637.0,Stub,16
Peter Khoy Saukam,Cambodia,751227068.0,Start,16
Tuot Saron,Cambodia,752967379.0,Start,16
Phoeurng Sackona,Cambodia,752979708.0,Stub,16
Nhek Bun Chhay,Cambodia,753086260.0,Stub,16
Cheam Yeab,Cambodia,753684881.0,Stub,16
Chea Poch,Cambodia,753689952.0,Stub,16
Chin Bun Sean,Cambodia,753692176.0,Stub,16
Chhim Siek Leng,Cambodia,753695057.0,Stub,16
Chea Soth,Cambodia,753711610.0,Stub,16
Ke Pauk,Cambodia,754318281.0,Stub,16
Kong Sam Ol,Cambodia,754944744.0,Stub,16
Pho Proeung,Cambodia,755504987.0,Stub,16
San Yun,Cambodia,756129985.0,Stub,16
Tiv Ol,Cambodia,756722795.0,Start,16
Son Ngoc Thanh,Cambodia,758665997.0,C,16
Monovithya Kem,Cambodia,759510662.0,Stub,16
Mom Chim Huy,Cambodia,761412104.0,Stub,16
Norodom Norindeth,Cambodia,761941416.0,Start,16
Hem Heng,Cambodia,763098565.0,Start,16
Chum Bunrong,Cambodia,763098588.0,Stub,16
Duong Vanna,Cambodia,763316692.0,Stub,16
Chhay Tan,Cambodia,763968613.0,Stub,16
Keat Chhon,Cambodia,765244120.0,Stub,16
Ang Vong Vathana,Cambodia,765375452.0,Stub,16
Keo Remy,Cambodia,766576352.0,Stub,16
Sun Chanthol,Cambodia,766834612.0,Start,16
Khieu Kanharith,Cambodia,766836319.0,Stub,16
Chay Saing Yun,Cambodia,767217618.0,Stub,16
Ek Sam Ol,Cambodia,767218020.0,Stub,16
Ouk Rabun,Cambodia,767867369.0,Stub,16
Hun Phoeung,Cambodia,768488633.0,Stub,16
Nguon Nhel,Cambodia,769381746.0,Stub,16
Khuon Sodary,Cambodia,769381831.0,Stub,16
Sok Pheng,Cambodia,769447485.0,Stub,16
Say Chhum,Cambodia,769929584.0,Stub,16
Im Sothy,Cambodia,771408501.0,Stub,16
Eng Chhai Eang,Cambodia,773103096.0,Stub,16
Heng Pov,Cambodia,773157273.0,Start,16
Him Chhem,Cambodia,773455924.0,Stub,16
Ho Non,Cambodia,773694865.0,Stub,16
Ho Vann,Cambodia,773695304.0,Stub,16
Hul Savorn,Cambodia,774100291.0,Stub,16
Pol Hom,Cambodia,776153762.0,Stub,16
Thong Khon,Cambodia,777665222.0,Stub,16
Hor Namhong,Cambodia,777765537.0,C,16
Keo Saphal (Siem Reap politician),Cambodia,778675539.0,Stub,16
Keo Saphal (Takeo politician),Cambodia,778675542.0,Stub,16
Khek Vandy,Cambodia,778806364.0,Stub,16
Khun Haing,Cambodia,778825745.0,Stub,16
Khy Taing Lim,Cambodia,778830534.0,Stub,16
Kimsour Phirith,Cambodia,778947267.0,Stub,16
Kuoch Ky,Cambodia,779440080.0,Stub,16
Kuoy Bunroeun,Cambodia,779441002.0,Stub,16
Chou Bun Eng,Cambodia,779541149.0,Start,16
Ke Sovannaroth,Cambodia,779541334.0,Stub,16
Norodom Rattana Devi,Cambodia,779541359.0,Stub,16
Norodom Vichara,Cambodia,779541415.0,Stub,16
Nin Saphon,Cambodia,779541481.0,Stub,16
Tioulong Saumura,Cambodia,779541578.0,Start,16
Som Kimsuor,Cambodia,779541650.0,Stub,16
Suy Sem,Cambodia,780608915.0,Stub,16
Sourn Serey Ratha,Cambodia,780691538.0,Stub,16
Ly Son,Cambodia,782622853.0,Stub,16
Ly Thuch,Cambodia,782622857.0,Stub,16
List of heads of state of Cambodia,Cambodia,782894395.0,C,16
Son Sann,Cambodia,783107330.0,C,16
Mam Bun Neang,Cambodia,783142781.0,Stub,16
Chan Sarun,Cambodia,783239117.0,Stub,16
Mao Monyvann,Cambodia,783294124.0,Stub,16
Men Sam An,Cambodia,784442393.0,Stub,16
Mey Norn,Cambodia,784629286.0,Stub,16
Sok An,Cambodia,784962640.0,C,16
Yem Sambaur,Cambodia,786198076.0,Start,16
Yim Sovann,Cambodia,786409843.0,C,16
Ek Yi Oun,Cambodia,786826707.0,Stub,16
Lu Laysreng,Cambodia,787016670.0,Stub,16
Math Ly,Cambodia,787260537.0,Stub,16
Chem Widhya,Cambodia,787978108.0,Start,16
Pa Socheatvong,Cambodia,788070748.0,Stub,16
Governor of Phnom Penh,Cambodia,788070776.0,Stub,16
Son Sen,Cambodia,788368060.0,C,16
Pen Sovan,Cambodia,788398926.0,Start,16
Sak Sutsakhan,Cambodia,788540352.0,C,16
Amath Yashya,Cambodia,788758065.0,Stub,16
Tong Siv Eng,Cambodia,788799479.0,Stub,16
Norodom Chakrapong,Cambodia,788905950.0,GA,16
Prak Sokhon,Cambodia,790023943.0,Start,16
Khieu Samphan,Cambodia,792012094.0,C,16
Sisowath Sirik Matak,Cambodia,792274582.0,C,16
Sam Sary,Cambodia,792556486.0,Start,16
Tou Samouth,Cambodia,792731504.0,Start,16
Yun Yat,Cambodia,793218721.0,Stub,16
Khieu Ponnary,Cambodia,793723115.0,Start,16
Cham Prasidh,Cambodia,793746447.0,Start,16
Ung Huot,Cambodia,794239262.0,Start,16
Veng Sereyvuth,Cambodia,794714434.0,Stub,16
Ieng Mouly,Cambodia,795214039.0,Stub,16
Pou Sothirak,Cambodia,796696955.0,Stub,16
Chea Sim,Cambodia,797224256.0,C,16
Hu Nim,Cambodia,797444265.0,C,16
Sim Var,Cambodia,797618265.0,Start,16
Bin Chhin,Cambodia,797673057.0,Stub,16
Sim Ka,Cambodia,798039997.0,Stub,16
Hou Yuon,Cambodia,798241496.0,C,16
Phiset Phanit,Cambodia,799124051.0,Stub,16
Norodom Sihanouk,Cambodia,799302232.0,FA,16
Pao Ham Phan,Cambodia,799453681.0,Stub,16
Heng Samrin,Cambodia,799719505.0,Start,16
Kang Kek Iew,Cambodia,799772448.0,C,16
Leng Ngeth,Cambodia,800087187.0,Stub,16
Spouse of the Prime Minister of Cambodia,Cambodia,800348414.0,Stub,16
Nhiek Tioulong,Cambodia,801079233.0,Start,16
Keo Puth Rasmey,Cambodia,801523347.0,Stub,16
Khem Veasna,Cambodia,802456666.0,C,16
Tea Banh,Cambodia,802643748.0,Start,16
Ieng Sary,Cambodia,802839704.0,C,16
Son Ngoc Minh,Cambodia,803084525.0,Start,16
List of monarchs of Cambodia,Cambodia,803230439.0,C,16
Ran Serey Leakhena,Cambodia,803481048.0,Stub,16
Lon Non,Cambodia,803936929.0,C,16
Lon Nil,Cambodia,803936986.0,Start,16
Mu Sochua,Cambodia,804631223.0,C,16
Penn Nouth,Cambodia,804717865.0,Start,16
Hang Chuon Naron,Cambodia,804785628.0,Start,16
Hong Sun Huot,Cambodia,805459200.0,Stub,16
Sam Rainsy,Cambodia,805740662.0,C,16
Nuon Chea,Cambodia,805876135.0,GA,16
Kao Kim Hourn,Cambodia,805905770.0,B,16
Ieng Thirith,Cambodia,806833311.0,C,16
Chau Sen Cocsal Chhum,Cambodia,806931313.0,C,16
Sar Kheng,Cambodia,806997998.0,C,16
Aun Pornmoniroth,Cambodia,807003284.0,Start,16
Lon Nol,Cambodia,807025761.0,GA,16
Robert Douglas Cook,Canada,401577829.0,Stub,37.2
List of Canadian incumbents by year,Canada,477962574.0,Stub,37.2
List of 2009 Canadian incumbents,Canada,632008524.0,Start,37.2
Rossy Barbour,Canada,653527941.0,Stub,37.2
Les Scheininger,Canada,667821864.0,C,37.2
Patrick Canning,Canada,667873261.0,Start,37.2
Gerald Hill (politician),Canada,670917017.0,Stub,37.2
John R. O'Dea,Canada,670971940.0,Stub,37.2
Samuel J. Hefferton,Canada,671122320.0,Start,37.2
Alexander Dunphy,Canada,676610041.0,Stub,37.2
Gordon Dawe,Canada,676612108.0,Stub,37.2
Paul Thoms,Canada,676732644.0,Stub,37.2
Frederick B. Rowe,Canada,676734572.0,Stub,37.2
Allan Evans (politician),Canada,676782180.0,Stub,37.2
Luke Woodrow,Canada,676947124.0,Stub,37.2
William G. Patterson,Canada,677094551.0,Stub,37.2
Freeman White (politician),Canada,677724847.0,Stub,37.2
William J. MacNeil,Canada,677769770.0,Stub,37.2
John Collins (Canadian politician),Canada,679623758.0,Stub,37.2
Barry Hynes,Canada,680618797.0,Stub,37.2
Brendan Howard,Canada,684050793.0,Stub,37.2
Wilson Callan,Canada,684903534.0,Stub,37.2
Rod Moores,Canada,684903869.0,Stub,37.2
List of 2010 Canadian incumbents,Canada,688697227.0,Start,37.2
Harold Collins (Canadian politician),Canada,690205437.0,Stub,37.2
Speaker of the Legislative Assembly of the Province of Canada,Canada,691747234.0,Stub,37.2
"Rhinoceros Party of Canada candidates, 1980 Canadian federal election",Canada,698077739.0,Stub,37.2
David John Rankin,Canada,703226576.0,Stub,37.2
Robert Melville Smith,Canada,704136762.0,Stub,37.2
Myra Freeman,Canada,704516768.0,Start,37.2
Evelyn Shannon,Canada,705247791.0,Stub,37.2
George Little (Manitoba politician),Canada,705386024.0,Stub,37.2
Michael Rojeski,Canada,705436088.0,Stub,37.2
Gudmundur Fjelsted,Canada,705539849.0,Stub,37.2
Samuel Fletcher,Canada,705547266.0,Stub,37.2
John Crane (Canadian politician),Canada,706430270.0,Stub,37.2
Milton Peach,Canada,706597779.0,Stub,37.2
Claude Sheppard,Canada,706758502.0,Stub,37.2
Don Hollett,Canada,706934829.0,Stub,37.2
Art Reid,Canada,706942745.0,Stub,37.2
David Secord,Canada,707172907.0,Stub,37.2
Wally Firth,Canada,707297623.0,Stub,37.2
William R. Smallwood,Canada,707632311.0,Stub,37.2
C. Maxwell Lane,Canada,707684781.0,Stub,37.2
Charles Poulin,Canada,708179175.0,Stub,37.2
Pierre-Luc Paquette,Canada,708813010.0,Stub,37.2
Francis Badgley (merchant),Canada,708885126.0,Stub,37.2
Michel Sikyea,Canada,708967094.0,Start,37.2
List of 2003 Canadian incumbents,Canada,709329316.0,Start,37.2
List of 2004 Canadian incumbents,Canada,709329425.0,Start,37.2
List of 2002 Canadian incumbents,Canada,709407679.0,Start,37.2
List of 2001 Canadian incumbents,Canada,709407789.0,Start,37.2
List of 2000 Canadian incumbents,Canada,709408821.0,Start,37.2
List of 1999 Canadian incumbents,Canada,709408830.0,Start,37.2
List of 1998 Canadian incumbents,Canada,709408965.0,Start,37.2
Sonnee Cohen,Canada,709455764.0,Start,37.2
List of 1997 Canadian incumbents,Canada,709491780.0,Start,37.2
List of 1996 Canadian incumbents,Canada,709492005.0,Start,37.2
List of 1995 Canadian incumbents,Canada,709492007.0,Start,37.2
List of 1994 Canadian incumbents,Canada,709492025.0,Start,37.2
List of 1992 Canadian incumbents,Canada,709492105.0,Start,37.2
List of 1991 Canadian incumbents,Canada,709492467.0,Start,37.2
List of 1990 Canadian incumbents,Canada,709492558.0,Start,37.2
List of 2005 Canadian incumbents,Canada,709519440.0,Start,37.2
Cyril Keeper,Canada,710575028.0,C,37.2
Adam Aptowitzer,Canada,710619647.0,Stub,37.2
Yvon Picotte,Canada,710753764.0,Start,37.2
James Atebe,Canada,711104781.0,Stub,37.2
List of 2007 Canadian incumbents,Canada,711603471.0,Start,37.2
Thomas Barnaby,Canada,712417981.0,Stub,37.2
Mark Evaloarjuk,Canada,712579431.0,Start,37.2
Jacques Bizard,Canada,712601441.0,Stub,37.2
Lawrence Martin (musician),Canada,712973728.0,C,37.2
Denis Viger,Canada,713249389.0,Stub,37.2
Aidan Maloney,Canada,713981300.0,Stub,37.2
Grafton Njootli,Canada,714172218.0,Stub,37.2
William Albert Boucher,Canada,714722019.0,Start,37.2
Marvin Gelber,Canada,715055224.0,Stub,37.2
Robert Robertson (politician),Canada,715359989.0,Stub,37.2
James H. Stuart,Canada,715457941.0,Stub,37.2
Maxime Lépine,Canada,716489196.0,Stub,37.2
Ambroise-Dydime Lépine,Canada,716690197.0,Stub,37.2
W. Garfield Case,Canada,716908156.0,C,37.2
Guy Williams (politician),Canada,716924009.0,Stub,37.2
May Birchard,Canada,716960979.0,Start,37.2
William Todd (1803–1873),Canada,717061600.0,Stub,37.2
Albert Planta,Canada,717154850.0,Stub,37.2
Jacques Viger (Member of the Assembly),Canada,717397656.0,Stub,37.2
Alexander Kennedy Isbister,Canada,717547859.0,Stub,37.2
Stuart Lyon Smith,Canada,717897492.0,Start,37.2
Michel Bénard,Canada,718265809.0,Stub,37.2
Maurice Laframboise,Canada,718852428.0,Start,37.2
James Isbister,Canada,719597828.0,Start,37.2
Jean-Charles Chapais,Canada,719598088.0,Start,37.2
List of 1993 Canadian incumbents,Canada,720131548.0,Start,37.2
List of 1989 Canadian incumbents,Canada,720131554.0,Start,37.2
List of 1988 Canadian incumbents,Canada,720131559.0,Start,37.2
List of 2008 Canadian incumbents,Canada,720133136.0,Start,37.2
John Judah Glass,Canada,720256444.0,Start,37.2
List of 1867 Canadian incumbents,Canada,721006116.0,Stub,37.2
Lazarus Phillips,Canada,721093245.0,Start,37.2
Samuel Hume Blake,Canada,721792566.0,Stub,37.2
Gilles Houde,Canada,722043055.0,Stub,37.2
Brenda Paris,Canada,723148572.0,C,37.2
Henry Judah,Canada,723249393.0,Stub,37.2
Rupert Bartlett,Canada,723252411.0,Stub,37.2
Peter Bercovitch,Canada,723253555.0,Start,37.2
Maurice Hartt,Canada,723253656.0,Start,37.2
Jerome Dinn,Canada,723271862.0,Stub,37.2
René Matteau,Canada,723308478.0,Stub,37.2
Tom Hickey (politician),Canada,723348093.0,Start,37.2
Myles Murray,Canada,723377038.0,Stub,37.2
Frederick Langdon Hubbard,Canada,723694660.0,Stub,37.2
David J. Reimer,Canada,724052271.0,n/a,37.2
Stephen Wallace (public servant),Canada,724068863.0,Stub,37.2
Harry Blank,Canada,724678615.0,Start,37.2
Hubert Kitchen,Canada,725395350.0,Stub,37.2
Uriah Strickland,Canada,725401345.0,Stub,37.2
Aubrey Gover,Canada,725401404.0,Stub,37.2
Alec Moores,Canada,725403647.0,Stub,37.2
Eugene Hiscock,Canada,725404809.0,Stub,37.2
H.R.V. Earle,Canada,725409378.0,Stub,37.2
Glenn Tobin,Canada,725417107.0,Stub,37.2
W. George Cross,Canada,726662002.0,Stub,37.2
François Beaulieu II,Canada,728457018.0,C,37.2
Alexander Macdonell of Greenfield,Canada,729104207.0,Stub,37.2
Steve Owens (politician),Canada,729767652.0,Start,37.2
Howard McCurdy,Canada,730002481.0,Start,37.2
Jeremy Akerman,Canada,730706462.0,C,37.2
Office-holders of Canada,Canada,730830430.0,Start,37.2
Louis Singer,Canada,733451024.0,Start,37.2
Edward Whelan (Canadian politician),Canada,734484063.0,Start,37.2
Wilfred McDonald,Canada,734799659.0,Start,37.2
Kevin Parsons Sr.,Canada,735721150.0,Stub,37.2
Hugh Twomey,Canada,735809835.0,Start,37.2
Alexander Grant Dallas,Canada,736826045.0,Stub,37.2
John L. Brown (Ontario politician),Canada,737118230.0,Stub,37.2
Jean Baptiste Wilkie,Canada,738242188.0,Start,37.2
Marcel Hatch,Canada,738514517.0,n/a,37.2
Stanley Hall (politician),Canada,738943928.0,Stub,37.2
Samuel Genest,Canada,739134923.0,Start,37.2
David Berger (Canadian politician),Canada,740276158.0,Start,37.2
David Rotenberg,Canada,740276869.0,C,37.2
Aubrey Senior,Canada,740441527.0,Stub,37.2
Neil Fraser (civil servant),Canada,740482412.0,Stub,37.2
Thomas McKay (Northwest Territories politician),Canada,740863576.0,Start,37.2
Peter Fraser (Northwest Territories politician),Canada,740863717.0,Stub,37.2
Ron Ghitter,Canada,741266718.0,Start,37.2
Esau Schafer,Canada,742618365.0,Stub,37.2
Michael S. Martin,Canada,742989409.0,Stub,37.2
Wayne Jim,Canada,743342114.0,Stub,37.2
William Angus Dickson,Canada,743352732.0,Stub,37.2
James Laxer,Canada,743802406.0,Start,37.2
Robert Duncan Wilmot,Canada,743934426.0,Start,37.2
William Steeves,Canada,744260793.0,Start,37.2
List of Canadian ministries,Canada,744493549.0,Start,37.2
John Hamilton Gray (New Brunswick politician),Canada,744724453.0,Start,37.2
Lawrence Armstrong,Canada,744726413.0,Start,37.2
Peter Mitchell (politician),Canada,744887895.0,Start,37.2
George Benjamin (Orangeman),Canada,745111909.0,Start,37.2
Jean Alfred,Canada,745448033.0,Start,37.2
Moe Mantha Sr.,Canada,745453138.0,Start,37.2
Samuel Factor (Canadian politician),Canada,745678622.0,Start,37.2
Leon Crestohl,Canada,746467178.0,Start,37.2
Frederick E. Harrison,Canada,746471129.0,Start,37.2
Solomon Hart Green,Canada,746727879.0,Start,37.2
George T. Marsh,Canada,746891841.0,Stub,37.2
J. A. McCaul,Canada,746916216.0,Stub,37.2
John O'Neill (Canadian politician),Canada,747526324.0,Start,37.2
George Coles (politician),Canada,748140172.0,Start,37.2
John William Ritchie,Canada,749483611.0,Stub,37.2
Mickey Hennessy,Canada,749552058.0,Start,37.2
Jeff Rose,Canada,750062937.0,Start,37.2
Jacob Æmilius Irving,Canada,750436001.0,Start,37.2
John N. Anderson,Canada,751176274.0,Stub,37.2
Arthur S. Mifflin,Canada,751807970.0,Stub,37.2
Wallace House (politician),Canada,751987164.0,Start,37.2
Ernie Tate,Canada,752068111.0,Start,37.2
Yvon Dumont,Canada,753367995.0,C,37.2
James Cockburn (politician),Canada,753379799.0,Start,37.2
Firmin Monestime,Canada,755386512.0,Start,37.2
Elmer Knutson,Canada,756279684.0,Start,37.2
Ray Kingsmith,Canada,756291644.0,Start,37.2
David Smith (Quebec politician),Canada,756551426.0,Stub,37.2
Frantz Benjamin,Canada,756552638.0,Stub,37.2
Irving Gerstein,Canada,756554677.0,Start,37.2
Jonathan Valois,Canada,756555976.0,Stub,37.2
Leo Kolber,Canada,756556561.0,Start,37.2
Ovid Jackson,Canada,756558693.0,Stub,37.2
Richard Marceau,Canada,756570254.0,Start,37.2
Russell Copeman,Canada,756570822.0,Start,37.2
Yoine Goldstein,Canada,756572403.0,Start,37.2
Keith Goulet,Canada,756574108.0,Stub,37.2
Ovide Alakannuark,Canada,756585976.0,Stub,37.2
Ron Elliott (politician),Canada,756585982.0,Stub,37.2
David Iqaqrialu,Canada,756585983.0,Stub,37.2
Patterk Netser,Canada,756585988.0,Stub,37.2
Donald Havioyak,Canada,756585989.0,Stub,37.2
